"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2024","8,575.25","8,380.10","8,651.40","8,197.15","4.16B","2.87%"
"01-03-2024","8,336.00","8,126.15","8,407.10","7,867.65","3.75B","3.09%"
"01-02-2024","8,085.75","7,886.75","8,215.45","7,797.70","5.40B","2.87%"
"01-01-2024","7,859.90","7,322.55","7,973.45","7,203.65","5.02B","7.62%"
"01-12-2023","7,303.40","6,617.80","7,321.20","6,612.55","5.02B","10.90%"
"01-11-2023","6,585.60","6,103.95","6,595.05","6,064.05","3.34B","8.04%"
"01-10-2023","6,095.40","6,231.55","6,339.70","5,960.00","2.45B","-2.36%"
"01-09-2023","6,242.85","5,949.30","6,336.00","5,944.20","3.80B","4.97%"
"01-08-2023","5,947.00","6,120.85","6,123.70","5,929.25","3.96B","-2.75%"
"01-07-2023","6,115.35","5,758.25","6,122.60","5,743.20","3.28B","6.56%"
"01-06-2023","5,738.70","5,461.55","5,746.30","5,439.40","2.75B","5.11%"
"01-05-2023","5,459.80","5,376.30","5,507.90","5,312.75","3.12B","1.93%"
"01-04-2023","5,356.20","5,120.45","5,362.85","5,090.05","1.98B","5.21%"